Key,Type,Desc,English,French,Spanish,German,Russian,Italian,Chinese Simplified,Japanese,Korean,Brazilian Portuguese,Turkish,Thai,Indonesian,Polish,Ukrainian,Arabic,Portuguese,Lithuanian
CONFIRM.EXIT/ProgressLost,Text,,Any progress since last checkpoint will be lost.,Toute votre progression depuis le dernier point de sauvegarde sera perdue.,Se perderá todo el progreso que has hecho desde el último punto de control.,Alle Fortschritte seit dem letzten Kontrollpunkt gehen verloren.,Прогресс после последней контрольной точки не будет сохранен,Perderai i progressi effettuati dall'ultimo checkpoint.,上个存档点之后的所有进度将会丢失。,最終チェックポイントからの進行データは失われます。,마지막 체크포인트 이후 진행 사항이 손실됩니다.,Qualquer progresso desde o último ponto de verificação será perdido.,Son kontrol noktasından itibaren yapılan değişiklikler kaybedilecek.,ความคืบหน้าใดๆ ตั้งแต่ด่านสุดท้ายจะหายไป,Kemajuan sejak checkpoint terakhir akan hilang.,Wszelkie postępy od ostatniego punktu kontrolnego zostaną utracone.,"Весь прогрес, набутий з останньої контрольної точки, буде втрачений.",سيتم فقد أي تقدم محرز منذ نقطة التفتيش الأخيرة.,Perderás qualquer progresso desde o último ponto de controlo.,Bus prarastas visas progresas nuo paskutinio kontrolinio taško.
CONFIRM.QUITGAME/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНА,ANNULLA,取消,いいえ,취소,CANCELAR,İPTAL ET,ยกเลิก,BATAL,ANULUJ,ВІДМІНИТИ,إلغاء,CANCELAR,ATŠAUKTI
CONFIRM.QUITGAME/Human,Text,,Human,Humain,Humano,Mensch,Человек,Umano,人类,ヒューマン,인간,Humano,İnsan,มนุษย์,Manusia,Człowiek,Людина,Human,Humano,Žmogus
CONFIRM.QUITGAME/QUIT,Text,,QUIT,QUITTER,ABANDONAR,BEENDEN,ВЫХОД,ESCI,离开,はい,끝내기,SAIR,ÇIKIŞ,ออก,BERHENTI,WYJDŹ,ВИЙТИ,إنهاء,SAIR,BAIGTI
CONFIRM.QUITGAME/SureQuit,Text,,Are you sure you want to quit?,Voulez-vous vraiment quitter ?,¿Seguro que quieres abandonar?,"Bist du sicher, dass du das Spiel beenden möchtest?","Уверены, что хотите выйти?",Confermi di voler uscire?,您真的要离开吗？,本当にやめますか？,끝내시겠습니까?,Tem certeza que deseja sair?,Çıkmak istediğinizden emin misiniz?,คุณแน่ใจหรือไม่ว่าต้องการออก,Apakah Kamu yakin ingin berhenti?,Czy na pewno chcesz wyjść?,"Ви впевнені, що хочете вийти з гри?",هل أنت متأكد أنك تريد الإنهاء؟,De certeza que queres sair?,Ar tikrai nori baigti?
CONFIRM.RESET/ProgressReset,Text,,All game progress will be reset!,Toute la progression sera réinitialisée !,¡Se reiniciará todo el progreso del juego!,Alle Fortschritte werden zurückgesetzt!,Весь игровой прогресс будет сброшен!,Tutti i progressi di gioco saranno azzerati!,所有游戏进度将会被重置！,全ての進行データは失われます。,모든 게임 진행 사항이 재설정됩니다!,Todo o progresso do jogo será apagado!,Oyundaki tüm ilerlemeniz sıfırlanacak!,ความคืบหน้าเกมทั้งหมดจะถูกรีเซ็ต!,Semua kemajuan permainan akan diset ulang!,Wszystkie postępy w grze zostaną zresetowane!,Весь ігровий прогрес буде втрачено!,سيتم إعادة تعيين كل التقدم المحرز في اللعبة!,Todo o progresso no jogo será reiniciado!,Visas žaidimo progresas bus pradėtas iš naujo!
CONFIRM.RESET/StartNewGame,Text,,Start New Game?,Commencer une nouvelle partie ?,¿Quieres comenzar una partida nueva?,Neues Spiel starten?,Начать новую игру?,Avviare una nuova partita?,开始新游戏？,ニューゲームを始めますか？,새로운 게임을 시작하시겠습니까?,Iniciar novo jogo?,Yeni Oyuna başlamak istiyor musunuz??,เริ่มเกมใหม่หรือไม่,Mulai Permainan Baru?,Rozpocząć nową grę?,Розпочати нову гру?,هل ترغب في بدء لعبة جديدة؟,Começar um jogo novo?,Pradėti naują žaidimą?
CONFIRM.RESET/YES  START NEW GAME,Text,,"YES, START NEW GAME","OUI, COMMENCER UNE NOUVELLE PARTIE","SÍ, COMENZAR UNA PARTIDA NUEVA.","JA, NEUES SPIEL STARTEN","ДА, НАЧАТЬ НОВУЮ ИГРУ","SÌ, AVVIA UNA NUOVA PARTITA",是，开始新游戏,はい,"예, 새로운 게임을 시작합니다","SIM, INICIAR NOVO JOGO","EVET, YENİ OYUNA BAŞLA",ใช่ เริ่มเกมใหม่,"YA, MULAI PERMAINAN BARU","TAK, ROZPOCZNIJ NOWĄ GRĘ","ТАК, РОЗПОЧАТИ НОВУ ГРУ","نعم، ابدأ لعبة جديدة","SIM, COMEÇAR NOVO JOGO","TAIP, PRADĖTI NAUJĄ ŽAIDIMĄ"
CUSTOMIZATION/ALL,Text,,ALL,TOUS,TODO,ALLES,ВСЕ,TUTTO,全部,すべて,모든,TODOS,TÜMÜ,ทั้งหมด,SEMUA,WSZYSTKO,ВСЕ,الكل,TUDO,VISKAS
CUSTOMIZATION/APPLY,Text,,APPLY,APPLIQUER,APLICAR,ANWENDEN,ПРИМЕНИТЬ,APPLICA,应用,決定,적용,APLICAR,UYGULA,นำไปใช้,TERAPKAN,ZASTOSUJ,ЗАСТОСУВАТИ,تطبيق,APLICAR,TAIKYTI
CUSTOMIZATION/BODY,Text,,BODY,CORPS,CUERPO,KÖRPER,ТЕЛО,CORPO,身体,からだ,몸,CORPO,VÜCUT,ร่างกาย,TUBUH,CIAŁO,ТІЛО,الجسم,CORPO,KŪNAS
CUSTOMIZATION/CAMERA,Text,,CAMERA,CAMÉRA,CÁMARA,KAMERA,КАМЕРА,TELECAMERA,视角,カメラ,카메라,CÂMERA,KAMERA,กล้อง,KAMERA,KAMERA,КАМЕРА,الكاميرا,CÂMARA,KAMERA
CUSTOMIZATION/CANCEL,Text,,CANCEL,ANNULER,CANCELAR,ABBRECHEN,ОТМЕНА,ANNULLA,取消,キャンセル,취소,CANCELAR,İPTAL ET,ยกเลิก,BATAL,ANULUJ,ВІДМІНИТИ,إلغاء,CANCELAR,ATŠAUKTI
CUSTOMIZATION/CLEAR,Text,,CLEAR,EFFACER,RESTAURAR,LÖSCHEN,ОЧИСТКА,ELIMINA,清除,クリア,지우기,LIMPAR,TEMİZLE,ล้าง,BERSIHKAN,WYCZYŚĆ,ОЧИСТИТИ,إلغاء تحديد,REMOVER,ŠALINTI
CUSTOMIZATION/Colors.NONE,Text,,NONE,AUCUNE,NADA,KEINE,НЕТ,NESSUNO,不上色,なし,없음,NENHUMA,HİÇBİRİ,ไม่มี,TIDAK ADA,BRAK,НЕМАЄ,لا شيء,NENHUMA,JOKIOS
CUSTOMIZATION/Colors.Title,Text,,Colors,Couleurs,Colores,Farben,Цвета,Colori,颜色,カラー,색상,Cores,Renkler,สี,Warna,Kolory,Кольори,الألوان,Cores,Spalvos
CUSTOMIZATION/DELETE,Text,,DELETE,SUPPRIMER,BORRAR,LÖSCHEN,УДАЛЕНИЕ,ELIMINA,删除,削除,삭제,EXCLUIR,SİL,ลบ,HAPUS,USUŃ,ВИДАЛИТИ,حذف,APAGAR,ŠALINTI
CUSTOMIZATION/DeletePreset.Delete Preset,Text,,Delete Preset,Supprimer préréglé,Eliminar preset,Voreinstellung löschen,Удаление предустановки,Elimina predefinite,删除模板,プリセット削除,사전 설정 삭제,Excluir predefinição,Ön Ayarı Sil,ลบค่าที่ตั้งไว้ล่วงหน้า,Hapus Preset,Usuń model,Видалити заготовку,حذف التعيين المسبق,Eliminar predefinição,Šalinti išankstinę nuostatą
CUSTOMIZATION/DeletePreset.Description,Text,,Do you want to delete this preset?,Supprimer ce préréglé ?,¿Quieres borrar este predeterminado?,Willst du diese Voreinstellung löschen?,Хотите удалить предустановку?,Eliminare queste impostazioni?,是否删除此预设？,プリセットを削除しますか？,이 사전 설정을 삭제하시겠습니까?,Deseja excluir essa predefinição?,Bu ön ayarı silmek istiyor musun?,คุณต้องการลบการตั้งค่าล่วงหน้ารายการนี้หรือไม่?,Ingin menghapus preset ini?,Czy chcesz usunąć ten model?,Бажаєте видалити заготовку?,هل ترغب في حذف التعيين المسبق؟,Queres eliminar esta predefinição?,Ar nori pašalinti šį nustatymą?
CUSTOMIZATION/DiscardPaint.Description,Text,,"Skin has unsaved changes, do you want to discard them?",Changements non sauvegardés sur l'apparence. Les supprimer ?,"Esta skin tiene cambios no guardados, ¿quieres descartarlos?","Einige Änderungen an dem Skin wurden nicht gespeichert, willst du sie verwerfen?",Внешний вид содержит несохраненные изменения. Отменить их?,"Non hai salvato le modifiche alla skin, vuoi eliminarle?",皮肤有未保存的更改，确定要放弃吗？,ペイントは保存されていません。よろしいですか？,스킨에 변경 내용이 저장되지 않았습니다. 변경 내용을 폐기하시겠습니까?,Há alterações não salvas na skin. Deseja descartá-las?,"Cilt kaydedilmemiş değişiklik içeriyor, değişiklikleri göz ardı etmek istiyor musunuz?",ผิวได้ยกเลิกการบันทึกการเปลี่ยนแปลง คุณต้องการละทิ้งการเปลี่ยนแปลงเหล่านั้นหรือไม่,"Ada perubahan yang belum disimpan pada Sampul, apakah Kamu ingin membuangnya?","Skórka posiada niezapisane zmiany, czy chcesz je odrzucić?",Виявлені не збережені зміни зовнішнього вигляду. Скасувати їх?,"تحتوي البشرة على تغييرات غير محفوظة، هل ترغب في تجاهلها؟","O visual tem alterações que não foram guardadas, queres eliminá-las?","Yra neįrašytų odos pakeitimų, ar nori jas pašalinti?"
CUSTOMIZATION/DiscardPaint.DISCARD,Text,,DISCARD,SUPPRIMER,DESCARTAR,VERWERFEN,УДАЛЕНИЕ,ELIMINA,放弃,はい,폐기,DESCARTAR,GÖZ ARDI ET,ละทิ้ง,BUANG,ODRZUĆ,СКАСУВАТИ,تجاهل,ELIMINAR,ŠALINTI
CUSTOMIZATION/DiscardPaint.Discard Paint,Text,,Discard Paint,Supprimer la peinture,Descartar pintura,Farbe verwerfen,Отменить покраску,Elimina vernice,放弃涂色,ペイントキャンセル,그림 폐기,Descartar tinta,Boyayı Göz Ardı Et,ทิ้งสี,Buang Cat,Odrzuć farbę,Відмінити пофарбування,تجاهل الطلاء,Eliminar pintura,Šalinti dažus
CUSTOMIZATION/EDIT MASK,Text,,EDIT MASK,MODIFIER LE MASQUE,MODIFICAR MÁSCARA,ABDECKUNG BEARBEITEN,ИЗМЕНЕНИЕ МАСКИ,MODIFICA MASCHERA,编辑面具,マスクエディット,마스크 편집,EDITAR MÁSCARA,MASKEYİ DÜZENLE,แก้ไขหน้ากาก,EDIT TOPENG,EDYTUJ MASKĘ,РЕДАГУВАТИ МАСКУ,تحرير القناع,EDITAR MÁSCARA,REDAGUOTI KAUKĘ
CUSTOMIZATION/Edit.COLORS,Text,,COLORS,COULEURS,COLORES,FARBEN,ЦВЕТА,COLORI,颜色,カラー,색상,CORES,RENKLER,สี,WARNA,KOLORY,КОЛЬОРИ,الألوان,CORES,SPALVOS
CUSTOMIZATION/Edit.Edit Character,Text,,Edit Character,Modifier le personnage,Editar personaje,Charakter bearbeiten,Редактирование персонажа,Modifica personaggio,编辑角色,スキンエディット,캐릭터 편집,Editar personagem,Karakteri Düzenle,แก้ไขตัวละคร,Edit Karakter,Edycja postaci,Редагувати персонаж,تحرير الشخصية,Editar personagem,Redaguoti veikėją
CUSTOMIZATION/Edit.HEAD,Text,,HEAD,TÊTE,CABEZA,KOPF,ГОЛОВА,TESTA,头部,あたま,머리,CABEÇA,KAFA,หัว,KEPALA,GŁOWA,ГОЛОВА,الرأس,CABEÇA,GALVA
CUSTOMIZATION/Edit.LOWER BODY,Text,,LOWER BODY,JAMBES,PARTE INFERIOR,UNTERKÖRPER,НИЖНЯЯ ЧАСТЬ,PARTE INFERIORE,下半身,からだ下,하체,PARTE INFERIOR,ALT VÜCUT,ร่างกายส่วนล่าง,TUBUH BAGIAN BAWAH,NOGI,НИЖНЯ ЧАСТИНА ТІЛА,الجزء السفلي من الجسم,CORPO INFERIOR,APATINĖ KŪNO DALIS
CUSTOMIZATION/Edit.MODEL,Text,,MODEL,MODÈLE,MODELO,MODELL,МОДЕЛЬ,MODELLO,模型,キャラ,모델,MODELO,MODEL,รุ่น,MODEL,MODEL,МОДЕЛЬ,الطراز,MODELO,MODELIS
CUSTOMIZATION/Edit.PAINT,Text,,PAINT,PEINTURE,PINTURA,MALEN,ПОКРАСКА,COLORA,涂色,ペイント,색칠하기,PINTAR,BOYA,แปรงทาสี,CAT,FARBA,ПОФАРБУВАННЯ,الطلاء,PINTURA,DAŽYTI
CUSTOMIZATION/Edit.UPPER BODY,Text,,UPPER BODY,TORSE,PARTE SUPERIOR,OBERKÖRPER,ВЕРХНЯЯ ЧАСТЬ,PARTE SUPERIORE,上半身,からだ上,상체,PARTE SUPERIOR,ÜST VÜCUT,ร่างกายส่วนบน,TUBUH BAGIAN ATAS,TUŁÓW,ВЕРХНЯ ЧАСТИНА ТІЛА,الجزء العلوي من الجسم,CORPO SUPERIOR,VIRŠUTINĖ KŪNO DALIS
CUSTOMIZATION/EXIT,Text,,EXIT,QUITTER,SALIR,VERLASSEN,ВЫХОД,ESCI,退出,終了,나가기,SAIR,ÇIKIŞ,ออก,KELUAR,WYJDŹ,ВИЙТИ,خروج,SAIR,IŠEITI
CUSTOMIZATION/HAT,Text,,HAT,TÊTE,SOMBRERO,HUT,ГОЛОВНОЙ УБОР,CAPPELLO,帽子,ぼうし,모자,CHAPÉU,ŞAPKA,หมวก,TOPI,CZAPKA,ГОЛОВНИЙ УБІР,القبعة,CHAPÉU,KEPURĖ
CUSTOMIZATION/LOAD,Text,,LOAD,CHARGER,CARGAR,LADEN,ЗАГРУЗКА,CARICA,加载,ロード,로딩하기,CARREGAR,YÜKLE,โหลด,MUAT,ŁADUJ,ЗАВАНТАЖИТИ,تحميل,CARREGAR,ĮKELTI
CUSTOMIZATION/MIRROR_OFF,Text,,"MIRROR
OFF","MIROIR
 OFF","ESPEJO 
 DESACTIVADO","SPIEGEL
 AUS",ЗЕРКАЛО ВЫКЛ.,"SPECCHIO
 OFF","镜像
关",ミラーオフ,"거울
  끄기","ESPELHO
DESLIGADO","AYNA
KAPALI","กระจก
ปิด","CERMIN
MATI","LUSTRO
WYŁ.",ДЗЕРКАЛО ВИКЛ,"الانعكاس
قيد إيقاف التشغيل","ESPELHO
DESLIGADO","VEIDRODINIS ATSPINDYS
IŠJUNGTAS"
CUSTOMIZATION/MIRROR_ON,Text,,"MIRROR
ON","MIROIR
 ON","ESPEJO
 ACTIVADO","SPIEGEL
 AN",ЗЕРКАЛО ВКЛ.,"SPECCHIO
 ON","镜像
开",ミラーオン,"거울
  켜기","ESPELHO
LIGADO","AYNA
AÇIK","กระจก
เปิด","CERMIN
NYALA","LUSTRO
WŁ.",ДЗЕРКАЛО ВКЛ,"الانعكاس
قيد التشغيل","ESPELHO
LIGADO","VEIDRODINIS ATSPINDYS
ĮJUNGTAS"
CUSTOMIZATION/NONE,Text,,NONE,AUCUN,NADA,KEINE,НИЧЕГО,NIENTE,无,なし,없음,NENHUM,HİÇBİRİ,ไม่มี,TIDAK ADA,BRAK,НЕМАЄ,لا شيء,NADA,JOKIOS
CUSTOMIZATION/OPEN WORKSHOP,Text,,OPEN WORKSHOP,OUVRIR L'ATELIER,ABRIR TALLER,WORKSHOP ÖFFNEN,ОТКРЫТИЕ МАСТЕРСКОЙ,APRI LABORATORIO,打开工作坊,ワークショップを開く,오픈 워크숍,ABRIR OFICINA,ATÖLYEYİ AÇ,เปิดประชุมเชิงปฏิบัติการ,BUKA SANGGAR,OTWÓRZ WARSZTAT,ВІДКРИТИ МАЙСТЕРНЮ,فتح ورشة العمل,ABRIR OFICINA,ATIDARYTI DIRBTUVES
CUSTOMIZATION/PAINT ON,Text,,PAINT ON:,PEINDRE SUR :,PINTURA EN:,FARBE AUF:,РАСКРАСКА,COLORA:,涂于：,ペイント:,그림 그리기:,PINTAR:,BOYA:,สีเปิดใช้งาน:,CAT PADA:,MALOWANIE:,ПОФАРБУВАТИ,طلاء على:,PINTAR EM:,DAŽYTI:
CUSTOMIZATION/Paint.BACKFACES,Text,,BACKFACES,FACES ARRIÈRES,CARAS TRASERAS,RÜCKFLÄCHEN,НЕВИДИМЫЕ ПОВЕРХНОСТИ,RETRO,背面,バックフェイス,뒷면,FACES TRASEIRAS,ARKA YÜZLER,พื้นที่ด้านหลัง,RUPA BELAKANG,TYŁ,НЕВИДИМІ ПОВЕРХНІ,الوجوه الخلفية,FACES POSTERIORES,GALINĖS PUSĖS
CUSTOMIZATION/Paint.MASK,Text,,MASK,MASQUE,MÁSCARA,ADBECKUNG,МАСКА,MASCHERA,遮蔽,マスク,마스크,MÁSCARA,MASKE,หน้ากาก,TOPENG,MASKA,МАСКА,القناع,MÁSCARA,KAUKĖ
CUSTOMIZATION/Paint.WEBCAM,Text,,WEBCAM,WEBCAM,WEBCAM,WEBCAM,ВЕБ-КАМЕРА,WEBCAM,网络摄像头,Webカメラ,웹캠,WEBCAM,WEB KAMERASI,เว็บแคม,WEBCAM,KAMERA INTERNETOWA,ВЕБ-КАМЕРА,كاميرا الويب,WEBCAM,VAIZDO KAMERA
CUSTOMIZATION/PartBody,Text,,Body {0},Corps {0},Cuerpo {0},Körper {0},Тело {0},Corpo {0},身体 {0},キャラ {0},몸 {0},Corpo {0},Vücut {0},ร่างกาย {0},Tubuh {0},Ciało {0},Тіло {0},الجسم {0},Corpo {0},Kūnas {0}
CUSTOMIZATION/PartHead,Text,,Head {0},Tête {0},Cabeza {0},Kopf {0},Голова {0},Testa {0},头部 {0},あたま {0},머리 {0},Cabeça {0},Kafa {0},หัว {0},Kepala {0},Głowa {0},Голова {0},الرأس {0},Cabeça {0},Galva {0}
CUSTOMIZATION/PartLower,Text,,Lower {0},Jambes {0},Inferior {0},Unter. {0},Нижняя часть {0},Inferiore {0},下半身 {0},からだ下 {0},하체 {0},Inferior {0},Alt {0},ส่วนล่าง {0},Bawah {0},Nogi {0},Нижня частина {0},الجزء السفلي {0},Inferior {0},Apatinė dalis {0}
CUSTOMIZATION/PartUpper,Text,,Upper {0},Torse {0},Superior {0},Ober. {0},Верхняя часть {0},Superiore {0},上半身 {0},からだ上 {0},상체 {0},Superior {0},Üst {0},ส่วนบน {0},Atas {0},Tułów {0},Верхня частина {0},الجزء العلوي {0},Superior {0},Viršutinė dalis {0}
CUSTOMIZATION/PAUSE,Text,,PAUSE,PAUSE,PAUSA,PAUSE,ПАУЗА,PAUSA,暂停,ポーズ,일시 중지,PAUSA,DURAKLAT,หยุดชั่วคราว,JEDA,WSZTRZYMAJ,ПАУЗА,إيقاف مؤقت,PAUSA,PRISTABDYTI
CUSTOMIZATION/PLAY,Text,,PLAY,JOUER,JUGAR,SPIELEN,ИГРА,GIOCA,开始游戏,プレイ,플레이,JOGAR,OYNA,เล่น,MAIN,GRAJ,ГРАТИ,اللعب,JOGAR,ŽAISTI
CUSTOMIZATION/Preset.Create New Slot,Text,,Create New Slot,Créer un nouvel emplacement,Crear nueva ranura,Neuen Platz erstellen,Создание новой ячейки,Crea nuovo slot,创建新存档,新プリセット,새로운 슬롯 만들기,Criar novo slot,Yeni Bölme Oluştur,สร้างช่องใหม่,Buat Slot Baru,Utwórz nowe miejsce,Створити новий слот,إنشاء فتحة جديدة,Criar novo espaço,Kurti naują vietą
CUSTOMIZATION/Preset.Load My Preset,Text,,Load My Preset,Charger mon préréglé,Cargar mi preset,Meine Voreinst. laden,Загрузка предустановок,Carica predefinite,加载我的模板,プリセットロード,내 사전 설정 로딩하기,Carregar minha predefinição,Ön Ayarımı Yükle,โหลดค่าที่ตั้งไว้ล่วงหน้าของฉัน,Muat Preset-ku,Załaduj mój model,Завантажити заготовку,تحميل التعيين المسبق,Carregar a minha predefinição,Įkelti mano nuostatą
CUSTOMIZATION/Preset.Load Subscribed Preset Title,Text,,Load Subscribed Preset,Charger un préréglé auquel vous êtes abonné(e),Cargar predeterminado con suscripción,Abonnierte Voreinstellung laden,Загрузить подписанную предустановку,Carica impostazioni stabilite,加载已订阅的预设,登録プリセットをロード,구독한 사전 설정 불러오기,Carregar Predefinição Inscrita,Abone Olunan Ön Ayarı Yükle,โหลดการตั้งค่าล่วงหน้าที่สมัครไว้,Muat Preset Berlanganan,Wczytaj model z subskrypcji,Завантажити підписану заготовку,,Carregar predefinição subscrita,Įkelti paskirtąjį nustatymą
